Country,City,AQI_Value,AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM_25_AQI_Value,PM_25_AQI_Category,lat,lng
5,220,56,1,1,1,18,1,6,1,56,1,41.3919,-81.536
43,221,105,5,2,1,13,1,2,1,105,5,6.3833,-0.3833
7,222,93,1,2,1,90,2,1,1,93,1,41.802,120.7621
2,223,45,2,0,1,22,1,0,1,45,2,-3.0508,-40.1678
56,224,54,1,1,1,8,1,1,1,54,1,-22.7322,-64.3425
20,225,36,2,0,1,29,1,2,1,36,2,51.8,11.7333
5,226,50,2,1,1,35,1,5,1,50,2,41.0555,-76.2492
16,227,153,3,1,1,34,1,0,1,153,3,22.68,75.62
5,228,48,2,1,1,36,1,5,1,48,2,42.5681,-70.8627
1,229,24,2,0,1,24,1,0,1,24,2,57.7667,36.7
46,230,179,3,3,1,179,3,2,1,166,3,32.2656,72.8994
16,231,151,3,1,1,26,1,1,1,151,3,19.2967,73.0631
12,232,92,1,2,1,45,1,0,1,92,1,3.5986,98.4803
1,233,48,2,1,1,39,1,1,1,48,2,43.6825,43.5339
10,234,104,5,1,1,16,1,2,1,104,5,10.8,-74.9167
18,235,51,1,1,1,27,1,1,1,51,1,14.5167,121.2667
18,235,51,1,1,1,27,1,1,1,51,1,13.6667,124.3667
47,236,38,2,0,1,20,1,0,1,38,2,15.8647,100.5858
8,237,41,2,1,1,27,1,5,1,41,2,52.2667,4.5
5,238,47,2,1,1,46,1,2,1,47,2,42.13,-71.6547
15,239,29,2,0,1,29,1,3,1,18,2,52.6286,1.2928
15,239,29,2,0,1,29,1,3,1,18,2,41.5495,-72.0882
15,239,29,2,0,1,29,1,3,1,18,2,42.9833,-80.6
8,240,37,2,1,1,32,1,3,1,37,2,51.4733,5.5467
57,241,61,1,2,1,2,1,9,1,61,1,-38.7433,-72.95
22,242,46,2,1,1,17,1,2,1,46,2,30.4167,-107.9167
5,243,79,1,2,1,13,1,27,1,79,1,41.7139,-87.7528
5,244,53,1,1,1,24,1,9,1,53,1,44.9876,-92.9641
5,244,53,1,1,1,24,1,9,1,53,1,37.7618,-120.8468
23,245,39,2,1,1,38,1,2,1,39,2,35.25,139.15
58,246,42,2,1,1,41,1,0,1,42,2,41.1169,20.8019
4,247,47,2,1,1,36,1,0,1,47,2,54.0333,22.5
20,248,32,2,1,1,27,1,4,1,32,2,51.7167,7.3833
2,249,25,2,0,1,6,1,1,1,25,2,-11.3669,-38.3328
5,250,73,1,2,1,26,1,7,1,73,1,40.2981,-111.6994
5,251,52,1,1,1,22,1,11,1,52,1,37.8808,-122.179
45,252,94,1,3,1,9,1,11,1,94,1,14.8693,-91.6211
25,253,80,1,2,1,22,1,1,1,80,1,7.85,3.933
3,254,48,2,1,1,45,1,0,1,48,2,36.7167,15.1
16,255,156,3,1,1,33,1,0,1,156,3,22.23,73.08
9,256,27,2,0,1,27,1,0,1,10,2,-5.0911,-81.1064
18,257,55,1,1,1,20,1,0,1,55,1,11.1583,124.9917
7,258,76,1,3,1,32,1,2,1,76,1,42.9392,126.0561
2,259,36,2,1,1,2,1,0,1,36,2,-2.9958,-47.3528
51,260,41,2,1,1,18,1,1,1,41,2,-10.6744,-77.8186
5,261,56,1,1,1,44,1,4,1,56,1,39.3832,-76.5519
5,262,58,1,1,1,43,1,5,1,58,1,29.6575,-95.1498
5,262,58,1,1,1,43,1,5,1,58,1,34.1597,-118.139
5,262,58,1,1,1,43,1,5,1,58,1,39.1552,-76.5537
5,263,45,2,1,1,32,1,7,1,45,2,40.011,-82.7155
59,264,50,2,1,1,41,1,0,1,50,2,52.3,76.95
5,265,46,2,1,1,46,1,2,1,31,2,40.9,-73.8063
5,265,46,2,1,1,46,1,2,1,31,2,33.3114,-86.7573
5,265,46,2,1,1,46,1,2,1,31,2,43.0333,-79.3333
5,265,46,2,1,1,46,1,2,1,31,2,42.7335,-71.324
22,266,77,1,3,1,7,1,8,1,77,1,19.562,-97.242
60,267,63,1,1,1,33,1,1,1,63,1,45.25,19.8667
47,268,59,1,1,1,27,1,0,1,59,1,7.5,100.0
47,269,35,2,0,1,17,1,0,1,35,2,13.1119,99.9458
16,270,444,6,2,1,111,5,1,1,391,6,31.03,75.78
61,271,60,1,2,1,60,2,3,1,55,1,31.4044,30.4164
3,272,48,2,1,1,48,1,0,1,12,2,39.5667,16.6333
1,273,32,2,1,1,32,1,0,1,26,2,47.2333,39.7
1,273,32,2,1,1,32,1,0,1,26,2,57.1833,39.4167
15,274,56,1,0,1,32,1,1,1,56,1,53.566,-2.121
20,275,32,2,1,1,32,1,1,1,30,2,50.7169,11.3275
62,276,29,2,0,1,29,1,2,1,29,2,50.9516,14.5571
63,277,28,2,0,1,19,1,0,1,28,2,-11.0167,33.8667
2,278,18,2,0,1,8,1,0,1,18,2,-12.2839,-40.4939
23,279,40,2,1,1,40,1,2,1,34,2,34.5167,135.85
15,280,58,1,0,1,32,1,1,1,58,1,53.483,-2.2931
2,281,30,2,0,1,16,1,1,1,30,2,-12.9747,-38.4767
2,281,30,2,0,1,16,1,1,1,30,2,20.2094,-75.2231
28,282,36,2,1,1,36,1,0,1,30,2,41.2903,36.3336
12,283,49,2,1,1,30,1,0,1,49,2,-3.4328,104.2356
2,284,32,2,1,1,14,1,1,1,32,2,-22.1256,-51.3889
5,285,28,2,1,1,22,1,4,1,28,2,30.7735,-88.1301
30,286,21,2,1,1,21,1,1,1,13,2,53.9169,-122.7494
51,287,30,2,1,1,1,1,0,1,30,2,-8.3833,-74.55
54,288,32,2,1,1,30,1,1,1,32,2,38.6833,-4.1167
39,289,80,1,1,1,62,2,4,1,80,1,31.6061,34.7717
57,290,182,3,14,1,1,1,23,1,182,3,-32.8667,-71.25
16,291,356,6,1,1,60,2,0,1,284,4,24.82,84.65
5,292,62,1,1,1,44,1,5,1,62,1,40.6077,-74.2807
16,293,226,4,1,1,48,1,1,1,226,4,24.955,90.3573
16,293,226,4,1,1,48,1,1,1,226,4,25.55,82.1
2,294,16,2,0,1,12,1,0,1,16,2,15.083,-23.632
