brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ssd,hdd,os,os_bit,graphic_card_gb,Price,rating,Number of Ratings,Number of Reviews
0,0,2,1,2,1,1,1,1,1,231,2,0,0
2,0,2,5,2,1,1,1,1,1,233,2,0,0
0,0,2,5,2,1,1,1,1,1,234,2,0,0
0,0,2,1,2,1,1,1,1,1,235,2,0,0
5,0,2,3,2,1,1,1,2,1,164,2,0,0
0,0,2,1,2,1,1,1,1,2,236,2,0,0
6,0,2,1,2,1,3,2,2,4,237,3,7,3
6,0,2,1,2,1,3,2,2,4,238,3,715,106
6,0,2,1,2,1,3,2,2,5,225,3,24,5
4,0,2,5,2,1,1,1,1,2,145,3,23,4
4,0,2,5,2,1,1,1,1,1,239,3,3062,325
4,0,2,4,1,1,1,1,1,1,240,3,122,12
2,0,2,5,2,1,1,1,1,2,241,3,18,6
4,0,2,1,2,1,1,1,2,1,242,2,11,1
2,0,2,1,2,1,1,1,1,2,243,2,30,6
0,0,2,3,2,3,1,1,2,1,72,3,1188,127
0,0,2,1,2,3,1,1,1,3,123,3,23,0
2,0,2,3,2,3,1,1,1,1,136,3,32,1
0,0,2,3,2,3,1,1,1,1,134,2,0,0
5,0,2,3,2,3,1,1,1,1,136,3,47,0
2,0,2,3,2,3,1,1,1,1,231,3,27,2
2,0,2,3,2,3,1,1,1,1,77,2,8,3
5,0,2,3,2,3,1,1,1,2,244,2,157,20
0,0,2,3,3,3,1,1,1,1,145,3,10,1
1,0,2,3,2,3,1,1,1,2,10,3,52,4
0,0,2,3,2,3,1,1,1,2,245,3,33,4
0,0,2,6,2,3,1,1,1,3,246,3,343,47
1,0,2,6,2,3,1,1,1,3,155,3,131,17
5,0,2,3,1,3,1,1,1,1,247,3,41,4
0,0,2,3,3,3,1,1,1,1,145,3,328,51
0,0,2,3,3,3,1,1,1,1,164,3,6,1
5,0,2,3,2,3,1,1,1,1,62,2,353,28
4,0,2,3,2,3,1,1,1,3,141,3,127,20
5,0,2,3,2,3,1,1,1,2,248,2,0,0
1,0,2,3,2,3,1,1,1,2,140,3,241,19
0,0,2,3,2,3,1,1,1,1,38,2,22,2
5,0,2,3,2,3,1,1,1,1,164,3,8,1
1,0,2,1,2,3,1,1,1,3,249,3,898,128
0,0,2,1,2,3,1,1,2,2,164,4,1,1
0,0,2,3,2,3,1,1,1,1,145,2,0,0
5,0,2,3,2,3,1,1,1,2,161,2,6,1
5,0,2,1,2,3,1,1,1,3,250,3,179,34
5,0,2,3,2,3,1,1,1,2,251,2,41,5
5,0,2,3,2,3,1,1,1,1,138,2,0,0
5,0,2,3,2,3,1,1,1,1,164,3,114,9
1,0,2,1,2,3,1,1,1,3,252,3,268,25
0,0,2,3,2,3,1,1,1,1,253,4,6,1
5,0,2,3,2,3,1,1,1,2,254,3,153,16
2,0,2,3,3,3,1,1,1,1,244,2,8,0
5,0,2,5,2,1,4,1,1,2,255,3,377,53
6,0,2,1,2,1,3,2,2,5,256,2,0,0
5,0,5,5,3,3,2,1,1,3,170,3,120,21
3,0,5,5,2,3,2,1,1,1,189,2,0,0
0,0,5,1,3,2,2,1,1,1,136,3,76,9
0,0,5,1,2,2,2,1,1,3,138,3,11,2
6,0,5,1,3,2,2,1,1,3,157,3,484,56
1,0,5,1,2,2,2,1,1,3,171,3,44,2
1,0,5,3,3,2,2,1,1,1,211,3,77,10
1,0,5,3,3,2,2,1,1,3,191,3,11,3
0,0,5,3,2,2,2,1,1,1,172,3,21,5
1,0,5,3,2,2,2,1,1,3,157,3,5,2
4,0,5,3,3,2,2,1,1,3,257,4,4,0
0,0,5,3,3,2,2,1,1,1,258,2,0,0
1,0,5,3,3,2,2,1,1,1,168,3,13,2
6,0,5,1,2,2,2,1,1,1,136,3,15,0
